Time(long)     ml  xy  press   RR   ir1
1544955051615  76  99  11448   0.91   334137
1544955051800  75  99  11447   0.83   339881
1544955052019  75  99  11445   0.83   353211
1544955052201  75  99  11446   0.83   360302
1544955052424  75  99  11447   0.83   327607
1544955052613  74  99  11445   0.82   332368
1544955052795  74  99  11449   0.82   346000
1544955053017  74  99  11447   0.82   352047
1544955053239  74  99  11447   0.82   319034
1544955053430  74  99  11446   0.8   325334
1544955053640  74  99  11447   0.8   339236
1544955053835  74  99  11447   0.8   350580
1544955054046  74  99  11447   0.8   314295
1544955054237  73  99  11445   0.82   320005
1544955054433  73  99  11448   0.82   333288
1544955054645  73  99  11445   0.82   345424
1544955054823  73  99  11447   0.82   316346
1544955055038  73  99  11447   0.87   317090
1544955055222  73  99  11446   0.87   327400
1544955055443  73  99  11445   0.87   340199
1544955055645  73  99  11448   0.87   343852
1544955055844  73  99  11446   0.87   314077
1544955056038  72  99  11445   0.9   320729
1544955056251  72  99  11446   0.9   334575
1544955056451  72  99  11448   0.9   346388
1544955056660  72  99  11446   0.9   316077
1544955056900  72  99  11447   0.88   319099
1544955057068  72  99  11446   0.88   329957
1544955057248  72  99  11447   0.88   342374
1544955057469  72  99  11447   0.88   323397
1544955057669  72  99  11446   0.88   314188
1544955057880  71  99  11448   0.86   321779
1544955058070  71  99  11447   0.86   335377
1544955058274  71  99  11446   0.86   346058
1544955058457  71  99  11448   0.86   307467
1544955058732  71  99  11449   0.88   313873
1544955058865  71  99  11448   0.88   327297
1544955059092  71  99  11448   0.88   339136
1544955059275  71  99  11447   0.88   318565
1544955059507  70  99  11446   0.91   314280
1544955059685  70  99  11452   0.91   321772
1544955059896  70  99  11448   0.91   334887
1544955060082  70  99  11445   0.91   344537
1544955060305  70  99  11449   0.91   317573
1544955060484  69  99  11447   0.88   323718
1544955060716  69  99  11446   0.88   335992
1544955060900  69  99  11447   0.88   347526
1544955061117  69  99  11447   0.88   337186
1544955061294  69  99  11446   0.88   331416
1544955061514  69  99  11448   0.93   337093
1544955061722  69  99  11447   0.93   348089
1544955061920  69  99  11448   0.93   359241
1544955062113  69  99  11449   0.93   340664
1544955062329  68  99  11448   0.96   341659
1544955062518  68  99  11448   0.96   347603
1544955062730  68  99  11450   0.96   357873
1544955062921  68  99  11453   0.96   368915
1544955063160  68  99  11450   0.96   347006
1544955063322  67  99  11450   0.98   348727
1544955063538  67  99  11449   0.98   354989
1544955063725  67  99  11450   0.98   364690
1544955063960  67  99  11450   0.98   359653
1544955064128  67  99  11452   0.98   346353
1544955064350  67  99  11450   0.88   349669
1544955064546  67  99  11450   0.88   360398
1544955064757  67  99  11452   0.88   370656
1544955064943  67  99  11447   0.88   341202
1544955065161  66  99  11447   0.92   339509
1544955065344  66  99  11446   0.92   346282
1544955065567  66  99  11448   0.92   356372
1544955065810  66  99  11447   0.92   354983
1544955065973  66  99  11449   0.92   331603
1544955066164  66  99  11446   0.9   335605
1544955066375  66  99  11447   0.9   346486
1544955066562  66  99  11447   0.9   356814
1544955066785  66  99  11449   0.9   334649
1544955066975  66  99  11448   0.91   335201
1544955067185  66  99  11448   0.91   342118
1544955067367  66  99  11449   0.91   351657
1544955067571  66  99  11449   0.91   342576
1544955067781  66  99  11447   0.91   334002
1544955067952  65  99  11447   0.86   337335
1544955068177  65  99  11448   0.86   347262
1544955068364  65  99  11450   0.86   341415
1544955068592  65  99  11449   0.86   323510
1544955068795  65  99  11447   0.82   326957
1544955068989  65  99  11446   0.82   337994
1544955069187  65  99  11448   0.82   340242
1544955069400  65  99  11448   0.82   315591
1544955069589  66  99  11446   0.82   320493
1544955069801  66  99  11447   0.82   332352
1544955069992  66  99  11447   0.82   341297
1544955070199  66  99  11446   0.82   311077
1544955070384  66  99  11449   0.83   316022
1544955070633  66  99  11450   0.83   327427
1544955070802  66  99  11451   0.83   333232
1544955071009  66  99  11448   0.83   308844
1544955071253  67  99  11447   0.77   315571
1544955071416  67  99  11448   0.77   328686
1544955071619  67  99  11448   0.77   340034
1544955071825  67  99  11447   0.77   305370
1544955072018  67  99  11449   0.84   311141
1544955072227  67  99  11450   0.84   323270
1544955072418  67  99  11450   0.84   335256
1544955072638  67  99  11448   0.84   305461
1544955072871  68  99  11450   0.84   309796
1544955073043  68  99  11450   0.84   320532
1544955073220  68  99  11447   0.84   332961
1544955073442  68  99  11447   0.84   318549
1544955073627  68  99  11449   0.84   309486
1544955073891  69  98  11448   0.87   317743
1544955074028  69  98  11448   0.87   331572
1544955074261  69  98  11447   0.87   323598
1544955074450  69  98  11448   0.87   308287
1544955074654  69  98  11450   0.82   316631
1544955074854  69  98  11448   0.82   332533
1544955075062  69  98  11446   0.82   344138
1544955075265  69  98  11446   0.82   305869
1544955075465  70  98  11448   0.84   313878
1544955075659  70  98  11449   0.84   330167
1544955075871  70  98  11448   0.84   344235
1544955076063  70  98  11448   0.84   310236
1544955076275  70  98  11448   0.86   317035
1544955076458  70  98  11447   0.86   329719
1544955076682  70  98  11449   0.86   342791
1544955076864  70  98  11449   0.86   304684
1544955077084  70  98  11448   0.77   312602
1544955077274  70  98  11448   0.77   326046
1544955077495  70  98  11449   0.77   340208
1544955077668  70  98  11448   0.77   302419
1544955077897  70  98  11449   0.8   309676
1544955078088  70  98  11447   0.8   323657
1544955078304  70  98  11448   0.8   338554
1544955078487  70  98  11447   0.8   304870
1544955078713  71  98  11445   0.81   312000
1544955078896  71  98  11447   0.81   325780
1544955079114  71  98  11447   0.81   337636
1544955079296  71  98  11449   0.81   304851
